qid,in_p17,in_p131,relation_group,has_kkwiki
Q13646407,1,1,P17+P131,1
Q16272754,1,1,P17+P131,1
Q27430616,1,0,P17_only,0
Q27095744,1,0,P17_only,0
Q55833127,1,0,P17_only,0
Q20098142,1,1,P17+P131,1
Q21103606,1,1,P17+P131,0
Q20485778,1,0,P17_only,1
Q124217858,1,0,P17_only,0
Q16723754,1,1,P17+P131,1
Q1008853,1,1,P17+P131,1
Q32192527,1,0,P17_only,0
Q16977734,1,1,P17+P131,0
Q16273609,1,1,P17+P131,0
Q32172674,1,0,P17_only,1
Q18400117,1,1,P17+P131,1
Q30972370,1,1,P17+P131,1
Q12540108,0,1,P131_only,1
Q27351830,1,1,P17+P131,0
Q12567691,1,1,P17+P131,1
Q16699111,1,1,P17+P131,1
Q56366856,1,1,P17+P131,1
Q133884229,1,0,P17_only,0
Q1255495,1,0,P17_only,0
Q32201776,1,0,P17_only,0
Q4072317,1,1,P17+P131,1
Q16433593,1,1,P17+P131,1
Q32190304,1,1,P17+P131,0
Q131087461,1,0,P17_only,0
Q13648269,1,1,P17+P131,1
Q112654962,0,1,P131_only,0
Q20077512,1,1,P17+P131,1
Q1410139,1,0,P17_only,0
Q19908029,0,1,P131_only,0
Q18399904,1,1,P17+P131,1
Q12542998,1,0,P17_only,1
Q27351841,1,0,P17_only,1
Q4506751,1,1,P17+P131,1
Q13645689,1,1,P17+P131,1
Q110786732,1,0,P17_only,0
Q27352448,1,0,P17_only,0
Q16693220,1,1,P17+P131,1
Q16272356,0,1,P131_only,1
Q18401877,1,1,P17+P131,1
Q24089757,1,0,P17_only,0
Q32213710,1,0,P17_only,0
Q12532274,1,0,P17_only,1
Q12552190,1,1,P17+P131,1
Q16653877,1,1,P17+P131,1
Q118727581,1,1,P17+P131,0
Q16723928,1,1,P17+P131,1
Q798143,1,0,P17_only,1
Q13646551,1,1,P17+P131,1
Q3853497,1,0,P17_only,1
Q42416691,1,1,P17+P131,0
Q111281411,1,1,P17+P131,1
Q134479875,1,1,P17+P131,0
Q135828450,1,0,P17_only,0
Q4446251,1,0,P17_only,1
Q16690901,1,1,P17+P131,1
Q18397691,1,0,P17_only,1
Q27351917,1,0,P17_only,0
Q18406969,1,1,P17+P131,1
Q13646510,1,1,P17+P131,1
Q27353851,1,0,P17_only,0
Q16432476,1,1,P17+P131,1
Q32206067,1,0,P17_only,0
Q110114446,1,0,P17_only,1
Q32212585,1,0,P17_only,0
Q18346184,1,1,P17+P131,0
Q109452613,1,0,P17_only,0
Q1538607,1,0,P17_only,1
Q18402056,1,1,P17+P131,0
Q12543373,1,0,P17_only,1
Q32210148,0,1,P131_only,0
Q2606853,1,0,P17_only,1
Q97274816,1,0,P17_only,0
Q19992172,0,1,P131_only,0
Q12533448,1,1,P17+P131,1
Q12535981,1,0,P17_only,1
Q12566337,1,1,P17+P131,1
Q42914595,1,0,P17_only,1
Q20098198,1,1,P17+P131,1
Q20073879,1,1,P17+P131,1
Q12546703,1,0,P17_only,1
Q32178942,1,1,P17+P131,0
Q27348497,1,0,P17_only,0
Q27350611,1,1,P17+P131,0
Q13647948,1,1,P17+P131,1
Q27348231,1,0,P17_only,0
Q12557884,1,0,P17_only,1
Q20098613,1,1,P17+P131,1
Q12557815,1,1,P17+P131,1
