qid,has_kkwiki,p21,p21_group
Q135358077,0,,MISSING
Q135359566,0,Q6581097,Q6581097
Q135361143,0,Q6581097,Q6581097
Q135361146,0,Q6581097,Q6581097
Q135361147,0,Q6581097,Q6581097
Q135361144,0,Q6581097,Q6581097
Q135361145,0,Q6581097,Q6581097
Q135361150,0,Q6581097,Q6581097
Q135361151,0,Q6581097,Q6581097
Q135361148,0,Q6581097,Q6581097
Q135361149,0,Q6581097,Q6581097
Q135361155,0,Q6581097,Q6581097
Q135361152,0,Q6581097,Q6581097
Q135361156,0,Q6581097,Q6581097
Q135361903,0,Q6581097,Q6581097
Q135362130,0,Q6581072,Q6581072
Q135362131,0,Q6581072,Q6581072
Q135362128,0,Q6581072,Q6581072
Q135362129,0,Q6581072,Q6581072
Q135362823,0,Q6581097,Q6581097
Q135362826,0,Q6581097,Q6581097
Q135362828,0,Q6581097,Q6581097
Q135362832,0,Q6581097,Q6581097
Q135362833,0,Q6581097,Q6581097
Q135362837,0,Q6581097,Q6581097
Q135362842,0,Q6581097,Q6581097
Q135362840,0,Q6581097,Q6581097
Q135362841,0,Q6581097,Q6581097
Q135363774,0,Q6581072,Q6581072
Q135363775,0,Q6581072,Q6581072
Q135363778,0,Q6581072,Q6581072
Q135363779,0,Q6581072,Q6581072
Q135378892,0,Q6581072,Q6581072
Q135363776,0,Q6581072,Q6581072
Q135363777,0,Q6581072,Q6581072
Q135363782,0,Q6581072,Q6581072
Q135363783,0,Q6581072,Q6581072
Q135363780,0,Q6581072,Q6581072
Q135363781,0,Q6581072,Q6581072
Q135363784,0,Q6581072,Q6581072
Q135365391,0,Q6581072,Q6581072
Q135365422,0,Q6581097,Q6581097
Q135365423,0,Q6581097,Q6581097
Q135365547,0,Q6581072,Q6581072
Q135365548,0,Q6581072,Q6581072
Q135365874,0,Q6581097,Q6581097
Q135365875,0,Q6581097,Q6581097
Q135367027,0,Q6581097,Q6581097
Q135367028,0,Q6581097,Q6581097
Q135367029,0,Q6581097,Q6581097
Q135367078,0,Q6581097,Q6581097
Q135367079,0,Q6581097,Q6581097
Q135367076,0,Q6581097,Q6581097
Q135367077,0,Q6581097,Q6581097
Q135367082,0,Q6581097,Q6581097
Q135367080,0,Q6581097,Q6581097
Q135367081,0,Q6581097,Q6581097
Q135367606,0,Q6581097,Q6581097
Q135367604,0,Q6581097,Q6581097
Q135367659,0,Q6581072,Q6581072
Q135367660,0,Q6581072,Q6581072
Q135367661,0,Q6581072,Q6581072
Q135368255,0,Q6581072,Q6581072
Q135368258,0,Q6581072,Q6581072
Q135368259,0,Q6581072,Q6581072
Q135368256,0,Q6581072,Q6581072
Q135368257,0,Q6581072,Q6581072
Q135368262,0,Q6581072,Q6581072
Q135368263,0,Q6581072,Q6581072
Q135368260,0,Q6581072,Q6581072
Q135368261,0,Q6581072,Q6581072
Q135368266,0,Q6581072,Q6581072
Q135368264,0,Q6581072,Q6581072
Q135368265,0,Q6581072,Q6581072
Q135368848,0,Q6581097,Q6581097
Q135368874,0,Q6581097,Q6581097
Q135368875,0,Q6581097,Q6581097
Q135368876,0,Q6581097,Q6581097
Q135368877,0,Q6581097,Q6581097
Q135368968,0,Q6581097,Q6581097
Q135369674,0,Q6581072,Q6581072
Q135369675,0,Q6581072,Q6581072
Q135369679,0,Q6581072,Q6581072
Q135369838,0,Q6581097,Q6581097
Q135369839,0,Q6581097,Q6581097
Q135369840,0,Q6581097,Q6581097
Q135369841,0,Q6581097,Q6581097
Q135370946,0,Q6581072,Q6581072
Q135370947,0,Q6581072,Q6581072
Q135370944,0,Q6581072,Q6581072
Q135370945,0,Q6581072,Q6581072
Q135370950,0,Q6581072,Q6581072
Q135370951,0,Q6581072,Q6581072
Q135370948,0,Q6581072,Q6581072
Q135370949,0,Q6581072,Q6581072
Q135370952,0,Q6581072,Q6581072
Q135370953,0,Q6581072,Q6581072
Q135371068,0,Q6581072,Q6581072
Q135371146,0,Q6581097,Q6581097
Q135371218,0,Q6581097,Q6581097
Q135371219,0,Q6581097,Q6581097
Q135371216,0,Q6581097,Q6581097
Q135371217,0,Q6581097,Q6581097
Q135371222,0,Q6581097,Q6581097
Q135371223,0,Q6581097,Q6581097
Q135371220,0,Q6581097,Q6581097
Q135371221,0,Q6581097,Q6581097
Q135371224,0,Q6581097,Q6581097
Q135371225,0,Q6581097,Q6581097
Q135371490,0,Q6581097,Q6581097
Q135371491,0,Q6581097,Q6581097
Q135371489,0,Q6581097,Q6581097
Q135371495,0,Q6581097,Q6581097
Q135371496,0,Q6581097,Q6581097
Q135371497,0,Q6581097,Q6581097
Q135375938,0,Q6581097,Q6581097
Q135375939,0,Q6581097,Q6581097
Q135375968,0,Q6581097,Q6581097
Q135375969,0,Q6581097,Q6581097
Q135376289,0,Q6581072,Q6581072
Q135376306,0,Q6581072,Q6581072
Q135376307,0,Q6581072,Q6581072
Q135376305,0,Q6581072,Q6581072
Q135376308,0,Q6581072,Q6581072
Q135376309,0,Q6581072,Q6581072
Q135376450,0,Q6581097,Q6581097
Q135376452,0,Q6581097,Q6581097
Q135377034,0,Q6581097,Q6581097
Q135377035,0,Q6581097,Q6581097
Q135377038,0,Q6581097,Q6581097
Q135377039,0,Q6581097,Q6581097
Q135377036,0,Q6581097,Q6581097
Q135377037,0,Q6581097,Q6581097
Q135379394,0,Q6581097,Q6581097
Q135379395,0,Q6581097,Q6581097
Q135379392,0,Q6581097,Q6581097
Q135379393,0,Q6581097,Q6581097
Q135381438,0,Q6581097,Q6581097
Q135382576,0,Q6581097,Q6581097
Q135382633,0,Q6581097,Q6581097
Q135384319,0,Q6581072,Q6581072
Q135385358,0,Q6581097,Q6581097
Q135388292,0,Q6581072,Q6581072
Q135388293,0,Q6581072,Q6581072
Q135389012,0,Q6581072,Q6581072
Q135389117,0,Q6581072,Q6581072
Q135389423,0,Q6581097,Q6581097
Q135389420,0,Q6581097,Q6581097
Q135389629,0,Q6581072,Q6581072
Q135390012,0,Q6581097,Q6581097
Q135391967,0,Q6581072,Q6581072
Q135407606,0,Q6581097,Q6581097
Q135432335,0,,MISSING
Q135526333,0,Q6581097,Q6581097
Q135529898,0,Q6581097,Q6581097
Q135580021,0,Q6581097,Q6581097
Q135585695,1,,MISSING
Q135586840,1,,MISSING
Q135647234,0,Q6581097,Q6581097
Q135655996,0,,MISSING
Q135682792,1,,MISSING
Q135726849,1,Q6581097,Q6581097
Q135792487,0,Q6581097,Q6581097
Q135827563,1,,MISSING
Q135828005,1,,MISSING
Q135841394,0,Q6581097,Q6581097
Q135852713,0,Q6581072,Q6581072
Q135898441,0,Q6581097,Q6581097
Q135915096,1,Q6581097,Q6581097
Q135951879,0,Q6581097,Q6581097
Q135951882,0,Q6581097,Q6581097
Q135951897,0,Q6581097,Q6581097
Q135951911,0,Q6581097,Q6581097
Q135972446,0,Q6581072,Q6581072
Q135974775,0,Q6581097,Q6581097
Q135991625,1,,MISSING
Q135991661,1,Q6581097,Q6581097
Q135991681,1,Q6581097,Q6581097
Q135991688,1,,MISSING
Q135991692,1,,MISSING
Q135999499,1,,MISSING
Q136000178,1,,MISSING
Q136001171,1,,MISSING
Q136001175,1,,MISSING
Q136001591,0,Q6581072,Q6581072
Q136001609,1,,MISSING
Q136087499,1,Q6581097,Q6581097
Q136087672,0,Q6581097,Q6581097
Q136100904,1,,MISSING
Q136104068,1,Q6581097,Q6581097
Q136122756,1,,MISSING
Q136125620,1,Q6581097,Q6581097
Q136135724,0,Q6581097,Q6581097
Q136140189,0,Q6581072,Q6581072
Q136140213,0,Q6581072,Q6581072
Q136141665,0,Q6581097,Q6581097
Q136216237,0,Q6581097,Q6581097
Q136290232,0,Q6581072,Q6581072
Q136299900,0,Q6581072,Q6581072
Q136305672,1,,MISSING
Q136309010,0,Q6581097,Q6581097
Q136312054,0,Q6581097,Q6581097
Q136326005,0,Q6581072,Q6581072
Q136327268,1,Q6581097,Q6581097
Q136338221,0,Q6581097,Q6581097
Q136352677,0,Q6581097,Q6581097
Q136380267,0,Q6581097,Q6581097
Q136380270,0,Q6581097,Q6581097
Q136380268,0,Q6581097,Q6581097
Q136381014,0,Q6581097,Q6581097
Q136381651,0,Q6581097,Q6581097
Q136381654,0,Q6581097,Q6581097
Q136381655,0,Q6581097,Q6581097
Q136381653,0,Q6581097,Q6581097
Q136381658,0,Q6581097,Q6581097
Q136381659,0,Q6581097,Q6581097
Q136381656,0,Q6581097,Q6581097
Q136381657,0,Q6581097,Q6581097
Q136381660,0,Q6581097,Q6581097
Q136381837,0,Q6581072,Q6581072
Q136382355,0,Q6581072,Q6581072
Q136387608,1,,MISSING
Q136440583,0,Q6581097,Q6581097
Q136445437,1,Q6581097,Q6581097
Q136460511,0,Q6581097,Q6581097
Q136461753,0,Q6581097,Q6581097
Q136474363,1,,MISSING
Q136474412,1,,MISSING
Q136474463,1,,MISSING
Q136483974,0,Q6581097,Q6581097
Q136485155,0,Q6581097,Q6581097
Q136485372,1,,MISSING
Q136485395,1,,MISSING
