p31,gap_entities,mean_other_wikipedias,median_other_wikipedias,wiki_2plus,wiki_5plus,wiki_10plus,covered_entities,observed_reference_universe,coverage_pct,gap_pct,wiki_2plus_pct,wiki_5plus_pct,wiki_10plus_pct,label_en,label_kk,label_ru
Q104179424,3,8.0,8.0,3,3,1,0,3,0.0,100.0,100.0,100.0,33.33,national ice hockey team,national ice hockey team,национальная сборная по хоккею с шайбой
Q22333025,3,13.33,13.0,3,3,3,6,9,66.67,33.33,100.0,100.0,100.0,Kazakhstani legislative election,Kazakhstani legislative election,Kazakhstani legislative election
Q124221947|Q6617741,3,5.67,5.0,3,2,0,0,3,0.0,100.0,100.0,66.67,0.0,,,
Q2977,3,6.67,6.0,3,2,1,1,4,25.0,75.0,100.0,66.67,33.33,cathedral,cathedral,кафедральный собор
Q6558431,3,8.67,9.0,2,2,1,2,5,40.0,60.0,66.67,66.67,33.33,coal-fired power station,coal-fired power station,угольная электростанция
Q6979593,3,4.67,5.0,2,2,0,1,4,25.0,75.0,66.67,66.67,0.0,national association football team,national association football team,сборная страны по футболу
Q1076486,3,4.0,3.0,2,1,0,1,4,25.0,75.0,66.67,33.33,0.0,sports venue,спорт ғимараттары,спортивное сооружение
Q115839789|Q13393265,3,3.0,3.0,2,1,0,0,3,0.0,100.0,66.67,33.33,0.0,,,
Q13393265,3,3.0,2.0,2,1,0,3,6,50.0,50.0,66.67,33.33,0.0,basketball team,basketball team,баскетбольная команда
Q176799,3,3.67,2.0,3,1,0,0,3,0.0,100.0,100.0,33.33,0.0,military unit,Әскери бөлім,воинское формирование
Q19832486,3,3.33,2.0,2,1,0,1,4,25.0,75.0,66.67,33.33,0.0,locomotive class,locomotive class,серия локомотива
Q12973014,3,1.67,2.0,2,0,0,1,4,25.0,75.0,66.67,0.0,0.0,sports team,sports team,спортивная команда
Q1349255|Q211748,3,1.67,2.0,2,0,0,0,3,0.0,100.0,66.67,0.0,0.0,,,
Q1497364,3,2.67,3.0,2,0,0,4,7,57.14,42.86,66.67,0.0,0.0,building complex,building complex,комплекс зданий
Q15813069,3,1.33,1.0,1,0,0,0,3,0.0,100.0,33.33,0.0,0.0,housing series,housing series,серия дома
Q174782,3,1.33,1.0,1,0,0,6,9,66.67,33.33,33.33,0.0,0.0,square,алаң,площадь
Q190429,3,1.0,1.0,0,0,0,7,10,70.0,30.0,0.0,0.0,0.0,depression,депрессия,геологическая депрессия
Q200141,3,1.0,1.0,0,0,0,16,19,84.21,15.79,0.0,0.0,0.0,necropolis,Некрополь,некрополь
Q200297,3,2.33,2.0,3,0,0,0,3,0.0,100.0,100.0,0.0,0.0,thermal power station,жылу электр станциясы,тепловая электростанция
Q211748,3,1.33,1.0,1,0,0,33,36,91.67,8.33,33.33,0.0,0.0,oil field,oil field,нефтяное месторождение
Q21686038,3,1.67,2.0,2,0,0,0,3,0.0,100.0,66.67,0.0,0.0,Cabinet of Kazakhstan,Cabinet of Kazakhstan,Cabinet of Kazakhstan
Q22746,3,2.33,2.0,2,0,0,1,4,25.0,75.0,66.67,0.0,0.0,urban park,urban park,городской парк
Q24354,3,2.67,3.0,2,0,0,27,30,90.0,10.0,66.67,0.0,0.0,theatre building,theatre building,здание театра
Q26887428,3,2.0,2.0,2,0,0,0,3,0.0,100.0,66.67,0.0,0.0,nation at competition,nation at competition,страна на соревновании
Q31855,3,1.0,1.0,0,0,0,16,19,84.21,15.79,0.0,0.0,0.0,research institute,ғылыми-зерттеу институты,научно-исследовательский институт
Q3273417,3,1.33,1.0,1,0,0,0,3,0.0,100.0,33.33,0.0,0.0,lists of sportspeople,lists of sportspeople,список спортсменов
Q3612735|Q47345468,3,2.33,2.0,3,0,0,0,3,0.0,100.0,100.0,0.0,0.0,,,
Q37901,3,2.33,2.0,3,0,0,1,4,25.0,75.0,100.0,0.0,0.0,strait,бұғаз,пролив
Q4022|Q4366834,3,2.33,2.0,3,0,0,0,3,0.0,100.0,100.0,0.0,0.0,,,
Q42195,3,1.0,1.0,0,0,0,8,11,72.73,27.27,0.0,0.0,0.0,petroglyph,Петроглиф,петроглиф
Q4438121,3,1.33,1.0,1,0,0,1,4,25.0,75.0,33.33,0.0,0.0,sports organization,sports organization,спортивная организация
Q4671277,3,1.33,1.0,1,0,0,1,4,25.0,75.0,33.33,0.0,0.0,academic institution,академиялық оқу орны,академическое учебное заведение
Q48204,3,1.33,1.0,1,0,0,1,4,25.0,75.0,33.33,0.0,0.0,voluntary association,Клуб,добровольная ассоциация
Q494829,3,1.33,1.0,1,0,0,1,4,25.0,75.0,33.33,0.0,0.0,bus station,автовокзал,автостанция
Q51481377,3,2.33,2.0,2,0,0,2,5,40.0,60.0,66.67,0.0,0.0,women's association football club,women's association football club,женский футбольный клуб
Q5737,3,1.0,1.0,0,0,0,9,12,75.0,25.0,0.0,0.0,0.0,burial mound,Қорған,курган
Q618123,3,1.0,1.0,0,0,0,1,4,25.0,75.0,0.0,0.0,0.0,geographical feature,Географиялық нысан,географический объект
Q740752,3,1.67,2.0,2,0,0,0,3,0.0,100.0,66.67,0.0,0.0,transport company,transport company,транспортная компания
Q1254933,2,6.5,6.5,2,2,0,1,3,33.33,66.67,100.0,100.0,0.0,astronomical observatory,astronomical observatory,астрономическая обсерватория
Q1756006,2,5.5,5.5,2,2,0,0,2,0.0,100.0,100.0,100.0,0.0,UCI Continental Team,UCI Continental Team,UCI Continental Team
Q1756006|Q20652655,2,6.0,6.0,2,2,0,0,2,0.0,100.0,100.0,100.0,0.0,,,
Q3146899,2,14.0,14.0,2,2,2,0,2,0.0,100.0,100.0,100.0,100.0,diocese of the Catholic Church,diocese of the Catholic Church,католическая епархия
Q358078,2,38.0,38.0,2,2,2,0,2,0.0,100.0,100.0,100.0,100.0,road network,road network,дорожная сеть
Q46190676,2,5.0,5.0,2,2,0,0,2,0.0,100.0,100.0,100.0,0.0,tennis event,tennis event,теннисное мероприятие
Q104666804,2,5.0,5.0,1,1,0,0,2,0.0,100.0,50.0,50.0,0.0,rail transport by country or region,rail transport by country or region,железнодорожный транспорт по стране или региону
Q108822533|Q4022,2,4.0,4.0,2,1,0,0,2,0.0,100.0,100.0,50.0,0.0,,,
Q11086064|Q3887,2,6.0,6.0,1,1,1,0,2,0.0,100.0,50.0,50.0,50.0,,,
Q128654790,2,7.0,7.0,2,1,1,0,2,0.0,100.0,100.0,50.0,50.0,ski jumping complex,ski jumping complex,комплекс лыжных трамплинов
Q133311,2,3.0,3.0,1,1,0,5,7,71.43,28.57,50.0,50.0,0.0,tribe,тайпа,племя
Q14350,2,4.5,4.5,1,1,0,5,7,71.43,28.57,50.0,50.0,0.0,radio station,radio station,вещательная радиостанция
Q22667,2,3.5,3.5,2,1,0,1,3,33.33,66.67,100.0,50.0,0.0,railway,Темір жол,железная дорога
Q25380035,2,20.0,20.0,1,1,1,1,3,33.33,66.67,50.0,50.0,50.0,ethnic community,Этникалық Қауымдастық,этническая общность
Q3240715,2,4.0,4.0,1,1,0,1,3,33.33,66.67,50.0,50.0,0.0,crater,crater,кратер
Q3320743,2,4.5,4.5,1,1,0,8,10,80.0,20.0,50.0,50.0,0.0,title of honor,құрметті атақ,почётное звание
Q33384,2,4.5,4.5,2,1,0,0,2,0.0,100.0,100.0,50.0,0.0,dialect,диалект,диалект
Q3839081,2,13.0,13.0,1,1,1,0,2,0.0,100.0,50.0,50.0,50.0,disaster,апат,катастрофа
Q847017,2,8.5,8.5,1,1,1,6,8,75.0,25.0,50.0,50.0,50.0,sports club,sports club,спортивный клуб
Q1003207,2,1.5,1.5,1,0,0,0,2,0.0,100.0,50.0,0.0,0.0,photovoltaic power station,Күн Электр Стансасы,Фотоэлектрическая солнечная электростанция
Q10313934,2,1.0,1.0,0,0,0,0,2,0.0,100.0,0.0,0.0,0.0,intermittent lake,intermittent lake,сезонное озеро
