qid,has_kkwiki,p21,p21_group,p21_corrected,gender
Q21066934,0,Q6581072,Q6581072,Q6581072,Female
Q21067360,0,Q6581097,Q6581097,Q6581097,Male
Q21067361,0,Q6581097,Q6581097,Q6581097,Male
Q21088177,1,Q6581097,Q6581097,Q6581097,Male
Q21088572,1,Q6581097,Q6581097,Q6581097,Male
Q21094436,1,Q6581097,Q6581097,Q6581097,Male
Q21100679,0,Q6581097,Q6581097,Q6581097,Male
Q21101653,0,Q6581072,Q6581072,Q6581072,Female
Q21103043,0,Q6581097,Q6581097,Q6581097,Male
Q21104361,0,Q6581072,Q6581072,Q6581072,Female
Q21105261,1,Q6581072,Q6581072,Q6581072,Female
Q21107592,0,Q6581072,Q6581072,Q6581072,Female
Q21109439,1,Q6581097,Q6581097,Q6581097,Male
Q21110753,1,Q6581097,Q6581097,Q6581097,Male
Q21132882,0,Q6581097,Q6581097,Q6581097,Male
Q21133839,0,Q6581097,Q6581097,Q6581097,Male
Q21133954,1,Q6581097,Q6581097,Q6581097,Male
Q21144363,0,Q6581097,Q6581097,Q6581097,Male
Q21148891,0,Q6581072,Q6581072,Q6581072,Female
Q21152573,0,Q6581097,Q6581097,Q6581097,Male
Q21152606,0,Q6581097,Q6581097,Q6581097,Male
Q21154267,0,Q6581097,Q6581097,Q6581097,Male
Q21170515,0,Q6581097,Q6581097,Q6581097,Male
Q21170609,0,Q6581072,Q6581072,Q6581072,Female
Q21170647,0,Q6581072,Q6581072,Q6581072,Female
Q21207234,0,Q6581097,Q6581097,Q6581097,Male
Q21207892,1,Q6581097,Q6581097,Q6581097,Male
Q21208245,1,Q6581097,Q6581097,Q6581097,Male
Q21208499,0,Q6581097,Q6581097,Q6581097,Male
Q21208570,1,Q6581097,Q6581097,Q6581097,Male
Q21208956,0,Q6581097,Q6581097,Q6581097,Male
Q21209138,1,Q6581097,Q6581097,Q6581097,Male
Q21209162,1,Q6581097,Q6581097,Q6581097,Male
Q21232760,0,Q6581097,Q6581097,Q6581097,Male
Q21284572,1,Q6581072,Q6581072,Q6581072,Female
Q21285293,0,Q6581072,Q6581072,Q6581072,Female
Q21405840,0,Q6581097,Q6581097,Q6581097,Male
Q21418965,0,Q6581097,Q6581097,Q6581097,Male
Q21534156,0,Q6581097,Q6581097,Q6581097,Male
Q21621281,0,Q6581072,Q6581072,Q6581072,Female
Q21622181,1,Q6581097,Q6581097,Q6581097,Male
Q21635240,1,Q6581097,Q6581097,Q6581097,Male
Q21637775,0,Q6581097,Q6581097,Q6581097,Male
Q21640857,0,Q6581072,Q6581072,Q6581072,Female
Q21641684,1,Q6581097,Q6581097,Q6581097,Male
Q21641730,0,Q6581072,Q6581072,Q6581072,Female
Q21663047,1,Q6581097,Q6581097,Q6581097,Male
Q21663426,1,Q6581097,Q6581097,Q6581097,Male
Q21663676,0,Q6581097,Q6581097,Q6581097,Male
Q21663948,0,Q6581097,Q6581097,Q6581097,Male
Q21663964,1,Q6581097,Q6581097,Q6581097,Male
Q21664101,0,Q6581097,Q6581097,Q6581097,Male
