p31,articles,median_words,mean_words,median_references,mean_references,median_images,mean_images,median_internal_links,mean_internal_links,no_references,no_images,under_250_words,short_unreferenced,thin_articles,label_en,label_kk,label_ru,no_references_pct,no_images_pct,under_250_words_pct,short_unreferenced_pct,thin_articles_pct
Q852013,1,63.0,63.0,1.0,1.0,0.0,0.0,2.0,2.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q852190,5,1023.0,1494.0,2.0,3.6,3.0,3.6,18.0,22.0,1,1,0,0,0,,,,20.0,20.0,0.0,0.0,0.0
Q8524,3,242.0,283.0,1.0,1.33,0.0,0.0,11.0,8.33,0,3,2,0,0,,,,0.0,100.0,66.67,0.0,0.0
Q852859,1,342.0,342.0,2.0,2.0,2.0,2.0,9.0,9.0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0,0.0
Q853252,1,295.0,295.0,0.0,0.0,1.0,1.0,9.0,9.0,1,0,0,0,0,,,,100.0,0.0,0.0,0.0,0.0
Q85332736,36,268.5,278.67,0.0,0.0,0.0,1.17,39.0,40.0,36,35,15,15,15,,,,100.0,97.22,41.67,41.67,41.67
Q853614,2,161.0,161.0,4.0,4.0,0.0,0.0,3.0,3.0,0,2,1,0,0,,,,0.0,100.0,50.0,0.0,0.0
Q853725,1,118.0,118.0,1.0,1.0,0.0,0.0,5.0,5.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q853854,3,479.0,398.0,0.0,0.67,0.0,0.67,14.0,14.0,2,2,1,1,0,,,,66.67,66.67,33.33,33.33,0.0
Q853915,1,164.0,164.0,1.0,1.0,0.0,0.0,5.0,5.0,0,1,1,0,0,,,,0.0,100.0,100.0,0.0,0.0
Q85482556,71,299.0,306.13,0.0,0.0,0.0,0.0,44.0,46.0,71,71,9,9,9,,,,100.0,100.0,12.68,12.68,12.68
Q85483234,1,516.0,516.0,0.0,0.0,0.0,0.0,108.0,108.0,1,1,0,0,0,,,,100.0,100.0,0.0,0.0,0.0
Q854845,3,249.0,341.0,1.0,0.67,2.0,1.67,12.0,13.0,1,0,2,0,0,,,,33.33,0.0,66.67,0.0,0.0
