p31,observed_entities,covered_entities,external_gap_entities,observed_coverage_pct,wiki_2plus,wiki_5plus,wiki_10plus,mean_other_wikipedias,label_en,label_kk,label_ru
Q15986354,1,0,1,0.0,1,0,0,3.0,basketball association,basketball association,баскетбольная федерация
Q15991303,4,3,1,75.0,1,0,0,2.0,association football league,association football league,футбольная лига
Q160091,12,12,0,100.0,0,0,0,,,,
Q1601458,15,6,9,40.0,9,0,0,2.44,combined heat and power station,Жылу Электр Орталығы,теплоэлектроцентраль
Q16043215,1,0,1,0.0,0,0,0,1.0,Sufism of an area,Sufism of an area,суфизм на территории
Q1616075,25,20,5,80.0,1,0,0,1.4,television station,television station,телецентр
Q1620908,2,2,0,100.0,0,0,0,,,,
Q162602,1,0,1,0.0,0,0,0,1.0,river island,Өзен аралы,речной остров
Q162633,1,1,0,100.0,0,0,0,,,,
Q162875,58,52,6,89.66,0,0,0,1.0,mausoleum,кесене,мавзолей
Q163021,1,0,1,0.0,0,0,0,1.0,observation post,observation post,наблюдательный пункт
Q16334295,1,0,1,0.0,0,0,0,1.0,group of humans,адамдар тобы,группа людей
Q16349709,1,0,1,0.0,1,0,0,2.0,Baháʼí Faith of an area,Baháʼí Faith of an area,бахаи на территории
Q163687,1,0,1,0.0,1,1,0,6.0,basilica,Базилика,базилика
Q163740,2,1,1,50.0,0,0,0,1.0,nonprofit organization,коммерциялық емес ұйым,некоммерческая организация
Q1639168,1,1,0,100.0,0,0,0,,,,
Q163967,1,1,0,100.0,0,0,0,,,,
Q1639780,7,7,0,100.0,0,0,0,,,,
Q164099,1,0,1,0.0,0,0,0,1.0,hoard,hoard,hoard
Q16434634,3,3,0,100.0,0,0,0,,,,
Q16463,1,1,0,100.0,0,0,0,,,,
Q16465938,5,0,5,0.0,0,0,0,1.0,seasonal river,seasonal river,пересыхающая река
Q165,1,1,0,100.0,0,0,0,,,,
Q16510064,36,0,36,0.0,31,3,0,2.83,sporting event,sporting event,спортивное мероприятие
Q16519632,5,5,0,100.0,0,0,0,,,,
Q1659844,1,0,1,0.0,1,0,0,4.0,information ministry,information ministry,министерство информации
Q166118,22,22,0,100.0,0,0,0,,,,
Q1662118,1,1,0,100.0,0,0,0,,,,
Q16632355,1,1,0,100.0,0,0,0,,,,
Q1664720,3,2,1,66.67,0,0,0,1.0,institute,institute,институт
Q166735,51,1,50,1.96,1,0,0,1.02,swamp,батпақ,заболоченный лес
Q16680663,7,0,7,0.0,4,0,0,1.57,IJF World Tour Kazakhstan,IJF World Tour Kazakhstan,IJF World Tour Kazakhstan
Q167037,1,1,0,100.0,0,0,0,,,,
Q16710068,1,1,0,100.0,0,0,0,,,,
Q167170,1,1,0,100.0,0,0,0,,,,
Q16725895,1,1,0,100.0,0,0,0,,,,
Q167270,1,1,0,100.0,0,0,0,,,,
Q167346,6,6,0,100.0,0,0,0,,,,
Q16738832,2,0,2,0.0,1,0,0,1.5,criminal case,criminal case,уголовное дело
Q168247,1,1,0,100.0,0,0,0,,,,
Q16887380,1,1,0,100.0,0,0,0,,,,
Q16889960,3,1,2,33.33,2,0,0,2.0,circus building,circus building,здание цирка
Q1691434,1,1,0,100.0,0,0,0,,,,
Q16917,2,1,1,50.0,1,0,0,2.0,hospital,аурухана,больница
Q16970,15,1,14,6.67,8,2,0,2.5,church building,шіркеу,христианский храм
Q169950,1,1,0,100.0,0,0,0,,,,
Q17028018,1,0,1,0.0,1,1,1,59.0,hunting strategy,hunting strategy,hunting strategy
Q17076801,1,1,0,100.0,0,0,0,,,,
Q1708422,1,1,0,100.0,0,0,0,,,,
Q17094485,1,1,0,100.0,0,0,0,,,,
Q171308,1,1,0,100.0,0,0,0,,,,
Q17156793,1,0,1,0.0,1,0,0,2.0,American football team,American football team,клуб американского футбола
Q1716124,1,0,1,0.0,1,0,0,4.0,national road,national road,дорога национального значения
Q17232649,1,0,1,0.0,1,1,1,14.0,news website,news website,новостной сайт
Q17270000,3,1,2,33.33,2,0,0,2.0,football club,football club,футбольный клуб
Q17272692,1,0,1,0.0,1,0,0,2.0,IANA time zone,IANA time zone,часовой пояс IANA
Q172754,1,1,0,100.0,0,0,0,,,,
Q17305522,1,1,0,100.0,0,0,0,,,,
Q17315159,5,5,0,100.0,0,0,0,,,,
Q17334923,1,1,0,100.0,0,0,0,,,,
Q173387,1,1,0,100.0,0,0,0,,,,
Q17362920,2,0,2,0.0,0,0,0,1.0,Wikimedia duplicated page,Wikimedia duplicated page,дублирующая страница
Q1740919,1,1,0,100.0,0,0,0,,,,
Q17431399,1,1,0,100.0,0,0,0,,,,
Q1747184,1,0,1,0.0,0,0,0,1.0,mass mortality event,mass mortality event,массовая смерть
Q174782,9,6,3,66.67,1,0,0,1.33,square,алаң,площадь
Q17505024,1,1,0,100.0,0,0,0,,,,
Q17524420,3,0,3,0.0,1,0,0,1.33,aspect of history,aspect of history,исторический аспект
Q17537576,1,1,0,100.0,0,0,0,,,,
Q17544377,1,1,0,100.0,0,0,0,,,,
Q1756006,6,0,6,0.0,5,5,0,4.83,UCI Continental Team,UCI Continental Team,UCI Continental Team
Q1756477,1,0,1,0.0,0,0,0,1.0,league system,league system,система спортивных лиг
Q1758037,1,1,0,100.0,0,0,0,,,,
Q1762059,1,1,0,100.0,0,0,0,,,,
Q1763828,3,3,0,100.0,0,0,0,,,,
Q176799,3,0,3,0.0,3,1,0,3.67,military unit,Әскери бөлім,воинское формирование
Q177380,1,1,0,100.0,0,0,0,,,,
Q177414,1,1,0,100.0,0,0,0,,,,
Q1774898,1,0,1,0.0,0,0,0,1.0,clinic,амбулатория,клиника
Q1781180,4,3,1,75.0,1,0,0,2.0,condensation power station,condensation power station,конденсационная электростанция
Q1782540,3,3,0,100.0,0,0,0,,,,
Q178561,8,3,5,37.5,2,1,1,3.8,battle,Арпалыс,битва
Q178706,1,0,1,0.0,1,1,0,8.0,institution,Әлеуметтік ұйым,общественный институт
Q178790,2,1,1,50.0,0,0,0,1.0,labor union,Тред-юниондар,профессиональный союз
Q1788716,2,2,0,100.0,0,0,0,,,,
Q1788820,1,1,0,100.0,0,0,0,,,,
Q17898,1,0,1,0.0,1,1,1,22.0,LGBT rights by country or territory,LGBT rights by country or territory,права ЛГБТ на территории
Q179049,4,4,0,100.0,0,0,0,,,,
Q179057,4,3,1,75.0,0,0,0,1.0,explosion,қопарылыс,взрыв
Q179164,1,1,0,100.0,0,0,0,,,,
Q179700,3,1,2,33.33,1,0,0,1.5,statue,statue,статуя
Q18043430,1,1,0,100.0,0,0,0,,,,
Q18142,2,0,2,0.0,0,0,0,1.0,tower block,tower block,высотное здание
Q181648,1,1,0,100.0,0,0,0,,,,
Q18199879,10,1,9,10.0,7,1,0,2.56,trolleybus system,trolleybus system,троллейбусная система
Q182103,1,1,0,100.0,0,0,0,,,,
Q18247357,5,1,4,20.0,3,1,0,3.5,group of structures or buildings,group of structures or buildings,группа структур и зданий
Q18285142,2,2,0,100.0,0,0,0,,,,
Q18325242,2,0,2,0.0,2,1,0,4.5,ice hockey competition,ice hockey competition,турнир по хоккею с шайбой
Q183288,1,1,0,100.0,0,0,0,,,,
Q183342,1,1,0,100.0,0,0,0,,,,
Q183366,1,0,1,0.0,1,1,1,53.0,territory,territory,территория
Q18340514,28,0,28,0.0,12,0,0,1.57,events in a specific year or time period,events in a specific year or time period,хроника в Википедии
Q18340550,1,0,1,0.0,1,0,0,2.0,Wikimedia timeline,Wikimedia timeline,статья — временная шкала
Q18369361,1,1,0,100.0,0,0,0,,,,
Q18389209,1,0,1,0.0,1,1,1,11.0,economic corridor,economic corridor,economic corridor
Q184644,1,1,0,100.0,0,0,0,,,,
Q18493502,1,0,1,0.0,1,1,0,6.0,suicide bombing,suicide bombing,взрыв террориста-смертника
Q185113,13,3,10,23.08,1,1,0,1.4,cape,Мүйіс,мыс
Q1851368,1,0,1,0.0,0,0,0,1.0,waterfront,waterfront,набережная
Q18536323,1,0,1,0.0,0,0,0,1.0,basketball league,basketball league,баскетбольная лига
Q18564543,1,0,1,0.0,0,0,0,1.0,international conference,international conference,международная конференция
Q18608583,22,4,18,18.18,9,3,0,2.44,recurring sporting event,recurring sporting event,повторяющееся спортивное событие
Q186117,2,0,2,0.0,0,0,0,1.0,timeline,timeline,хронология
Q18677266,1,1,0,100.0,0,0,0,,,,
Q18704634,1,0,1,0.0,1,0,0,3.0,railway museum,railway museum,железнодорожный музей
Q18729324,12,7,5,58.33,5,0,0,3.0,razyezd,razyezd,разъезд как населённый пункт
Q187931,1,0,1,0.0,0,0,0,1.0,phrase,фраза,фраза
Q188025,92,28,64,30.43,10,0,0,1.38,salt lake,Тұзды көл,минеральное озеро
Q188055,5,1,4,20.0,1,0,0,1.5,siege,siege,осада
Q188451,1,1,0,100.0,0,0,0,,,,
Q189004,6,5,1,83.33,0,0,0,1.0,college,Колледж,колледж
Q189445,1,1,0,100.0,0,0,0,,,,
Q189533,1,0,1,0.0,1,0,0,2.0,academic degree,ғылыми дәреже,академическая степень
Q189819,1,1,0,100.0,0,0,0,,,,
Q190429,10,7,3,70.0,0,0,0,1.0,depression,депрессия,геологическая депрессия
Q190752,1,1,0,100.0,0,0,0,,,,
Q1916382,1,1,0,100.0,0,0,0,,,,
Q192283,2,2,0,100.0,0,0,0,,,,
Q192350,11,7,4,63.64,1,0,0,1.5,ministry,министрлік,министерство
Q192611,29,0,29,0.0,4,0,0,1.14,electoral unit,Сайлау округі,избирательный округ
Q192691,1,1,0,100.0,0,0,0,,,,
Q192914,1,1,0,100.0,0,0,0,,,,
Q193071,1,1,0,100.0,0,0,0,,,,
Q1933026,2,0,2,0.0,2,2,1,7.5,launch site,launch site,пусковая площадка
Q193424,1,0,1,0.0,1,0,0,2.0,web service,Веб-қызмет,веб-служба
Q19362195,3,2,1,66.67,1,1,0,7.0,geostationary satellite,geostationary satellite,геостационарный спутник
Q193622,12,12,0,100.0,0,0,0,,,,
Q19386377,1,1,0,100.0,0,0,0,,,,
Q19393726,1,0,1,0.0,0,0,0,1.0,,,
Q194188,3,1,2,33.33,2,1,1,6.5,spaceport,Ғарыш айлағы,космодром
Q194356,1,0,1,0.0,0,0,0,1.0,wind farm,Жел электрлік стансысы,ветряная электростанция
Q1959314,2,1,1,50.0,1,1,0,7.0,protected area of Russia,protected area of Russia,особо охраняемая природная территория России
Q196600,1,1,0,100.0,0,0,0,,,,
Q1968122,1,1,0,100.0,0,0,0,,,,
Q1968435,1,1,0,100.0,0,0,0,,,,
Q1969448,1,0,1,0.0,0,0,0,1.0,term,термин,термин
Q1970365,1,0,1,0.0,1,1,0,6.0,natural history museum,natural history museum,музей естественной истории
Q1973901,5,5,0,100.0,0,0,0,,,,
Q19753333,1,0,1,0.0,0,0,0,1.0,nuclear weapons program,nuclear weapons program,программа ядерного оружия
Q1975485,1,1,0,100.0,0,0,0,,,,
Q1978718,1,1,0,100.0,0,0,0,,,,
Q19832486,5,1,4,20.0,2,1,0,2.75,locomotive class,locomotive class,серия локомотива
Q19860854,3,2,1,66.67,0,0,0,1.0,destroyed building or structure,destroyed building or structure,утраченное здание или строение
Q19953632,1,0,1,0.0,0,0,0,1.0,former administrative territorial entity,former administrative territorial entity,бывшая административно-территориальная единица
Q19958368,1,1,0,100.0,0,0,0,,,,
Q19973770,2,2,0,100.0,0,0,0,,,,
Q19973795,1,1,0,100.0,0,0,0,,,,
Q19983480,2,1,1,50.0,1,0,0,4.0,ministry of communications,ministry of communications,министерство связи
Q2001305,6,2,4,33.33,1,0,0,1.5,television channel,television channel,телеканал
Q200141,21,16,5,76.19,1,0,0,1.2,necropolis,Некрополь,некрополь
Q200297,3,0,3,0.0,3,0,0,2.33,thermal power station,жылу электр станциясы,тепловая электростанция
Q20057844,1,0,1,0.0,0,0,0,1.0,Mormonism of an area,Mormonism of an area,мормонизм на территории
Q20097215,1,1,0,100.0,0,0,0,,,,
Q201676,1,1,0,100.0,0,0,0,,,,
Q20202072,1,1,0,100.0,0,0,0,,,,
Q2026692,1,0,1,0.0,1,1,1,14.0,BN reactor,BN reactor,БН
Q2026833,1,0,1,0.0,0,0,0,1.0,garden square,garden square,сквер
Q2031836,23,6,17,26.09,6,1,0,1.76,Eastern Orthodox church building,Eastern Orthodox church building,православный храм
Q2042028,100,4,96,4.0,1,0,0,1.02,ravine,шатқал,ущелье
Q204310,2,2,0,100.0,0,0,0,,,,
Q2056313,1,0,1,0.0,1,0,0,2.0,pastoral visit,pastoral visit,pastoral visit
Q20638319,1,1,0,100.0,0,0,0,,,,
Q20639848,1,0,1,0.0,0,0,0,1.0,club cycling team,club cycling team,команда велоклуба
Q20652655,3,0,3,0.0,3,3,0,5.67,amateur cycling team,amateur cycling team,любительская велокоманда
Q20653566,1,0,1,0.0,1,1,0,5.0,UCI Trade Team III,UCI Trade Team III,Groupe Sportif III
Q2069494,1,1,0,100.0,0,0,0,,,,
Q20719675,34,33,1,97.06,0,0,0,1.0,raion of the Soviet Union,raion of the Soviet Union,район СССР
Q20732405,1,0,1,0.0,0,0,0,1.0,volost of the Russian Empire,volost of the Russian Empire,волость Российской империи
Q207326,11,1,10,9.09,0,0,0,1.0,summit,Шың,вершина местности
Q207694,2,0,2,0.0,1,0,0,1.5,art museum,art museum,художественный музей
Q207842,1,1,0,100.0,0,0,0,,,,
Q207934,1,1,0,100.0,0,0,0,,,,
Q20820102,3,0,3,0.0,3,0,0,3.0,rideable miniature railway,rideable miniature railway,парковая железная дорога
Q2085381,6,5,1,83.33,0,0,0,1.0,publishing house,Баспа,издательство
Q20860083,1,0,1,0.0,0,0,0,1.0,educational facility,educational facility,учебное заведение
Q2087181,4,3,1,75.0,0,0,0,1.0,historic house museum,historic house museum,исторический дом-музей
Q2088357,2,1,1,50.0,1,1,0,5.0,musical ensemble,musical ensemble,музыкальный ансамбль
Q20901295,1,1,0,100.0,0,0,0,,,,
Q20926517,1,1,0,100.0,0,0,0,,,,
Q209333,1,0,1,0.0,0,0,0,1.0,oxbow lake,oxbow lake,старица
Q209465,1,0,1,0.0,0,0,0,1.0,campus,campus,кампус
Q2095,1,1,0,100.0,0,0,0,,,,
Q2097208,1,1,0,100.0,0,0,0,,,,
Q2101619,1,0,1,0.0,0,0,0,1.0,political slogan,political slogan,политический лозунг
Q210167,1,0,1,0.0,0,0,0,1.0,video game developer,video game developer,разработчик компьютерных игр
Q210272,3,1,2,33.33,1,1,1,30.0,cultural heritage,cultural heritage,культурное наследие
