p31,observed_entities,covered_entities,external_gap_entities,observed_coverage_pct,wiki_2plus,wiki_5plus,wiki_10plus,mean_other_wikipedias,label_en,label_kk,label_ru
Q274153,2,1,1,50.0,0,0,0,1.0,water tower,Су айдауыш мұнара,водонапорная башня
Q2748296,1,1,0,100.0,0,0,0,,,,
Q27517483,2,2,0,100.0,0,0,0,,,,
Q27566398,1,0,1,0.0,0,0,0,1.0,Russian language in an area,Russian language in an area,русский язык на территории
Q27686,8,3,5,37.5,1,0,0,1.2,hotel,Қонақ Үй,гостиница
Q2772772,1,0,1,0.0,0,0,0,1.0,military museum,military museum,военный музей
Q28043022,2,1,1,50.0,0,0,0,1.0,proposed rail infrastructure,proposed rail infrastructure,перспективная железнодорожная инфраструктура
Q28108,1,1,0,100.0,0,0,0,,,,
Q28140340,2,1,1,50.0,1,0,0,3.0,women's association football team,women's association football team,женская футбольная команда
Q28640,1,0,1,0.0,1,0,0,3.0,profession,мамандық,профессия
Q28653,1,0,1,0.0,1,1,1,30.0,mendicant order,mendicant order,нищенствующий орден
Q286576,1,1,0,100.0,0,0,0,,,,
Q28747937,1,1,0,100.0,0,0,0,,,,
Q28777651,1,1,0,100.0,0,0,0,,,,
Q2887554,4,4,0,100.0,0,0,0,,,,
Q2888028,1,0,1,0.0,1,1,1,30.0,First Order of Saint Francis,First Order of Saint Francis,First Order of Saint Francis
Q2912397,3,0,3,0.0,1,1,1,4.0,single-day road race,single-day road race,однодневная велогонка
Q29224491,1,1,0,100.0,0,0,0,,,,
Q2923911,1,1,0,100.0,0,0,0,,,,
Q29292775,1,0,1,0.0,1,0,0,2.0,national badminton team,national badminton team,сборная по бадминтону
Q2935978,2,2,0,100.0,0,0,0,,,,
Q294414,5,2,3,40.0,1,0,0,1.33,public office,мемлекеттік лауазым,государственная должность
Q294422,1,0,1,0.0,0,0,0,1.0,public building,public building,общественное здание
Q2944640,2,0,2,0.0,0,0,0,1.0,gas-fired power station,gas-fired power station,газовая электростанция
